model,training,attack,f1,precision,recall
telegram_dedup_tfidf_word_lr,clean,clean,0.8959276018099548,0.9500959692898272,0.8476027397260274
telegram_dedup_tfidf_word_lr,clean,obfuscate,0.8208092485549133,0.9383259911894273,0.7294520547945206
telegram_dedup_tfidf_word_lr,clean,prompt_injection,0.8834586466165414,0.9791666666666666,0.8047945205479452
telegram_dedup_tfidf_word_lr,clean,paraphrase_like,0.8898999090081893,0.9495145631067962,0.8373287671232876
telegram_dedup_tfidf_char_svm,clean,clean,0.950477845351868,0.9647266313932981,0.9366438356164384
telegram_dedup_tfidf_char_svm,clean,obfuscate,0.9407603890362511,0.9725776965265083,0.910958904109589
telegram_dedup_tfidf_char_svm,clean,prompt_injection,0.9545454545454546,0.975,0.934931506849315
telegram_dedup_tfidf_char_svm,clean,paraphrase_like,0.9494773519163763,0.9663120567375887,0.9332191780821918
telegram_dedup_tfidf_word_lr,eat,clean,0.9075342465753424,0.9075342465753424,0.9075342465753424
telegram_dedup_tfidf_word_lr,eat,obfuscate,0.8431372549019608,0.7533692722371967,0.9571917808219178
telegram_dedup_tfidf_word_lr,eat,prompt_injection,0.5822911455727864,0.41130742049469965,0.9965753424657534
telegram_dedup_tfidf_word_lr,eat,paraphrase_like,0.9041095890410958,0.9041095890410958,0.9041095890410958
telegram_dedup_tfidf_char_svm,eat,clean,0.9505637467476149,0.9630931458699473,0.9383561643835616
telegram_dedup_tfidf_char_svm,eat,obfuscate,0.9115755627009646,0.8590909090909091,0.9708904109589042
telegram_dedup_tfidf_char_svm,eat,prompt_injection,0.6776084407971864,0.5151515151515151,0.9897260273972602
telegram_dedup_tfidf_char_svm,eat,paraphrase_like,0.9505637467476149,0.9630931458699473,0.9383561643835616
